"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-5.341666838E-5,1.991335116E-2,4.195563197E-1,5.700985715E-2,4.238799014E-1
9.941583332E-3,-4.407446831E-2,5.034552217E-1,4.286361858E-2,5.071952373E-1
1.993658333E-2,-1.037194207E-1,6.217717528E-1,-5.032003857E-3,6.303833373E-1
2.993158333E-2,-1.945397705E-1,7.459126711E-1,-3.675466776E-2,7.717398142E-1
3.992658333E-2,-2.774509192E-1,7.802760005E-1,-1.096877307E-1,8.353688094E-1
4.992158333E-2,-3.934107125E-1,8.235412836E-1,-2.664871216E-1,9.507931534E-1
5.991658333E-2,-5.299427509E-1,9.291316271E-1,-3.882700205E-1,1.137927286E0
6.991158333E-2,-7.551697493E-1,1.047880650E0,-4.694250822E-1,1.374298044E0
7.990658333E-2,-1.119249701E0,1.157864690E0,-6.207522750E-1,1.725892210E0
8.990158333E-2,-1.506368518E0,1.217629075E0,-8.115309477E-1,2.100083131E0
9.989658334E-2,-1.872506022E0,1.278785586E0,-9.904892445E-1,2.474396962E0
1.098915833E-1,-2.252756596E0,1.344177008E0,-1.154123187E0,2.865959602E0
1.198865833E-1,-2.628891945E0,1.405767202E0,-1.289211750E0,3.247971863E0
1.298815833E-1,-2.960570097E0,1.458394408E0,-1.374633312E0,3.575123256E0
1.398765833E-1,-3.244177103E0,1.491766453E0,-1.408889055E0,3.838622226E0
1.498715833E-1,-3.486781836E0,1.488244653E0,-1.391400099E0,4.038380115E0
1.598665833E-1,-3.677088737E0,1.433057308E0,-1.316998839E0,4.160423149E0
1.698615833E-1,-3.818292141E0,1.318324924E0,-1.185681462E0,4.209890261E0
1.798565833E-1,-3.911582232E0,1.140144348E0,-1.003632545E0,4.196150971E0
1.898515833E-1,-3.956730366E0,9.028646350E-1,-7.822152972E-1,4.133127207E0
1.998465833E-1,-3.974505424E0,6.195511818E-1,-5.338797569E-1,4.057778288E0
2.098415833E-1,-3.972162008E0,3.031504154E-1,-2.704185247E-1,3.992880836E0
2.198365833E-1,-3.963191986E0,-2.236032300E-2,-1.537530962E-2,3.963284888E0
2.298315833E-1,-3.960905552E0,-3.292147815E-1,2.167707086E-1,3.980470412E0
2.398265833E-1,-3.968031406E0,-5.979469419E-1,4.056556821E-1,4.033282822E0
2.498215833E-1,-3.994978905E0,-8.162050247E-1,5.397938490E-1,4.113079684E0
2.598165833E-1,-4.038903713E0,-9.630578160E-1,6.110712290E-1,4.196859732E0
